ticker,map_cc_underlier,map_cc_index,cc_type,cc_category
JEPI US,,SPX,Traditional,Broad Beta
JEPQ US,,NDX,Traditional,Tech
QYLD US,,NDX,Traditional,Tech
XYLD US,,SPX,Traditional,Broad Beta
RYLD US,,RUT,Traditional,Small Caps
XYLG US,,SPX,Traditional,Broad Beta
RYLG US,,RUT,Traditional,Small Caps
QYLG US,,NDX,Traditional,Tech
DIVO US,,Basket,Traditional,Broad Beta
FTHI US,,SPX,Traditional,Broad Beta
KNG US,,SPATI,Traditional,Broad Beta
FTQI US,,NDX,Traditional,Tech
TLTW US,,TLT,Traditional,Fixed Income
HYGW US,,HYG,Traditional,Fixed Income
LQDW US,,LQD,Traditional,Fixed Income
ACIO US,,Basket,Traditional,Broad Beta
SPYI US,,SPX,Traditional,Broad Beta
SIXH US,,SIX,Traditional,Broad Beta
KLIP US,,KWEB,Traditional,Tech
PBP US,,SPX,Traditional,Broad Beta
CVRD US,,BXM,Traditional,Broad Beta
VEGA US,,MXWD,Traditional,Broad Beta
GPIX US,,SPX,Traditional,Broad Beta
GPIQ US,,NDX,Traditional,Tech
FEPI US,,SOLFANGT,Traditional,Tech
ISPY US,,SPX,Synthetic,Broad Beta
YBTC US,,BTC,Synthetic,Crypto
YMAX US,,Basket,Synthetic,Tech
YMAG US,,Basket,Synthetic,Tech
ULTY US,,Basket,Synthetic,Tech
QDTE US,,NDX,Synthetic,Tech
XDTE US,,SPX,Synthetic,Broad Beta
IVVW US,,SPX,Traditional,Broad Beta
IWMW US,,RUT,Traditional,Small Caps
IQQQ US,,NDX,Traditional,Tech
QQQI US,,NDX,Traditional,Tech
MLPD US,,BXPX,Traditional,Energy
QQQY US,,NDX,Synthetic,Tech
WDTE US,,SPX,Synthetic,Broad Beta
IWMY US,,IWM,Synthetic,Small Caps
SPYT US,,SPX,Synthetic,Broad Beta
USOY US,,USO,Synthetic,Energy
AIPI US,,BAILSI,Traditional,Tech
GDXY US,,GDX,Synthetic,Commodity
IWMI US,,RUT,Traditional,Small Caps
KQQQ US,,QQQ,Traditional,Tech
TSPY US,,SPX,Traditional,Broad Beta
QDVO US,,Basket,Traditional,Broad Beta
ITWO US,,RUT,Synthetic,Small Caps
RDTE US,,RUT,Synthetic,Small Caps
BTCI US,,BTC,Synthetic,Crypto
TLTP US,,TLT,Traditional,Fixed Income
BIGY US,,Basket,Synthetic,Broad Beta
CEPI US,,BCADPS,Traditional,Crypto
EGGS US,,Basket,Traditional,Commodity
EGGY US,,Basket,Traditional,Commodity
IYRI US,,Basket,Traditional,Real Estate
BALI US,,SPX,Traditional,Broad Beta
SDTY US,,SPX,Synthetic,Broad Beta
PAPI US,,RLV,Traditional,Broad Beta
QDTY US,,NDX,Synthetic,Tech
FTKI US,,RTY,Traditional,Small Caps
RDTY US,,RUT,Synthetic,Small Caps
