ticker,map_crypto_is_spot,map_crypto_underlier
BTC US,Spot Single Asset,BTC only
ETH US,Spot Single Asset,alt-coin only (ETH)
ETHU US,Derivatives-based; leveraged,alt-coin only (ETH)
BITX US,Derivatives-based; leveraged,BTC only
BITU US,Derivatives-based; leveraged,BTC only
BTCI US,Derivatives-based; income,BTC only
ETHT US,Derivatives-based; leveraged,alt-coin only (ETH)
ETHW US,Spot Single Asset,alt-coin only (ETH)
YBTC US,Derivatives-based; income,BTC only
BITQ US,Equity,multi-token crypto
ETHV US,Spot Single Asset,alt-coin only (ETH)
FDIG US,Equity,multi-token crypto
LFGY US,Equity,multi-token crypto
BTCW US,Spot Single Asset,BTC only
STCE US,Equity,multi-token crypto
WGMI US,Equity,BTC only
NCIQ US,Spot Multi-asset; passive,multi-token crypto
CRPT US,Equity,multi-token crypto
YBIT US,Derivatives-based; income,BTC only
EETH US,Derivatives-based; futures-based,alt-coin only (ETH)
YETH US,Derivatives-based; income,alt-coin only (ETH)
EZET US,Spot Single Asset,alt-coin only (ETH)
ETHD US,Derivatives-based; leveraged,alt-coin only (ETH)
SPBC US,Hybrid (spot/multi + derivatives),crypto + traditional asset
BITI US,Derivatives-based; futures-based,BTC only
XBTY US,Derivatives-based; income,BTC only
HECO US,Hybrid (spot/multi + derivatives),multi-token crypto
SBIT US,Derivatives-based; leveraged,BTC only
CEPI US,Equity,multi-token crypto
BTGD US,Derivatives-based; leveraged,crypto + traditional asset
BTCL US,Derivatives-based; leveraged,BTC only
BLOX US,Hybrid (spot/multi + derivatives),multi-token crypto
CBTJ US,Derivatives-based; defined outcome,BTC only
MAXI US,Derivatives-based; income,BTC only
CBOJ US,Derivatives-based; defined outcome,BTC only
BTF US,Derivatives-based; futures-based,multi-token crypto
BITS US,Hybrid (spot/multi + derivatives),multi-token crypto
TETH US,Spot Single Asset,alt-coin only (ETH)
BTCC US,Derivatives-based; income,BTC only
ETU US,Derivatives-based; leveraged,alt-coin only (ETH)
OWNB US,Equity,BTC only
CBXJ US,Derivatives-based; defined outcome,BTC only
NODE US,Equity,multi-token crypto
BITC US,Derivatives-based; futures-based,crypto + traditional asset
BETH US,Derivatives-based; futures-based,multi-token crypto
QBF US,Derivatives-based; defined outcome,BTC only
FMKT US,Hybrid (spot/multi + derivatives),crypto + traditional asset
BITY US,Derivatives-based; income,BTC only
RSSX US,Hybrid (spot/multi + derivatives),crypto + traditional asset
BTFX US,Derivatives-based; leveraged,BTC only
BAGY US,Derivatives-based; income,BTC only
DFII US,Derivatives-based; income,BTC only
BETE US,Derivatives-based; futures-based,multi-token crypto
SATO US,Equity,multi-token crypto
DECO US,Hybrid (spot/multi + derivatives),multi-token crypto
AETH US,Derivatives-based; futures-based,crypto + traditional asset
CBTY US,Derivatives-based; defined outcome,BTC only
CBXY US,Derivatives-based; defined outcome,BTC only
BCCC US,Derivatives-based; income,BTC only
SETH US,Derivatives-based; futures-based,alt-coin only (ETH)
BTRN US,Derivatives-based; futures-based,BTC only
BEGS US,Derivatives-based; leveraged,crypto + traditional asset
BBB US,Hybrid (spot/multi + derivatives),crypto + traditional asset
BPI US,Derivatives-based; income,BTC only
CBXA US,Derivatives-based; defined outcome,BTC only
MNRS US,Equity,BTC only
CBOA US,Derivatives-based; defined outcome,BTC only
CBOY US,Derivatives-based; defined outcome,BTC only
BTOP US,Derivatives-based; futures-based,crypto + traditional asset
BTCZ US,Derivatives-based; leveraged,BTC only
CBTA US,Derivatives-based; defined outcome,BTC only
BFJL US,Derivatives-based; defined outcome,BTC only
ETQ US,Derivatives-based; leveraged,alt-coin only (ETH)
WTIP US,Hybrid (spot/multi + derivatives),crypto + traditional asset
ETCO US,Derivatives-based; income,alt-coin only (ETH)
HBTC US,Derivatives-based; futures-based,BTC only
OOSB US,Hybrid (spot/multi + derivatives),crypto + traditional asset
SOLZ US,Spot Single Asset,alt-coin only (SOL)
XXRP US,Derivatives-based; leveraged,alt-coin only (XRP)
SLON US,Derivatives-based; leveraged,alt-coin only (SOL)
SOLT US,Derivatives-based; leveraged,alt-coin only (SOL)
DOJE US,Spot Single Asset,alt-coin only (DOGE)
XRPI US,Spot Single Asset,alt-coin only (XRP)
XRPT US,Derivatives-based; leveraged,alt-coin only (XRP)
UXRP US,Derivatives-based; leveraged,alt-coin only (XRP)
COYY US,Derivatives-based; income,multi-token crypto
ETHI US,Derivatives-based; leveraged,alt-coin only (ETH)
BCHG US,Spot Single Asset,alt-coin only (BCH)
BITW US,Spot Multi-asset; passive,multi-token crypto
