ticker,etp_category,is_primary,source
AAPW US,CC,1,manual
AAPY US,CC,1,manual
ABNY US,CC,1,manual
ACIO US,CC,1,manual
ACKY US,CC,1,manual
AIPI US,CC,1,manual
AIYY US,CC,1,manual
AMDU US,CC,1,manual
AMDW US,CC,1,manual
AMDY US,CC,1,manual
AMYY US,CC,1,manual
AMZP US,CC,1,manual
AMZW US,CC,1,manual
AMZY US,CC,1,manual
APLY US,CC,1,manual
ARMW US,CC,1,manual
AVGW US,CC,1,manual
AZYY US,CC,1,manual
BABO US,CC,1,manual
BABW US,CC,1,manual
BAGY US,CC,1,manual
BALI US,CC,1,manual
BALQ US,CC,1,manual
BBYY US,CC,1,manual
BCCC US,CC,1,manual
BIGY US,CC,1,manual
BITK US,CC,1,manual
BITY US,CC,1,manual
BLOX US,CC,1,manual
BNDY US,CC,1,manual
BPI US,CC,1,manual
BRKC US,CC,1,manual
BRKW US,CC,1,manual
BTCC US,CC,1,manual
BTCI US,CC,1,manual
BUCK US,CC,1,manual
BUYW US,CC,1,manual
BWVTF US,CC,1,manual
CANQ US,CC,1,manual
CEPI US,CC,1,manual
CHPY US,CC,1,manual
COII US,CC,1,manual
COIW US,CC,1,manual
CONY US,CC,1,manual
COSW US,CC,1,manual
COYY US,CC,1,manual
CRCO US,CC,1,manual
CRSH US,CC,1,manual
CSHI US,CC,1,manual
CVNY US,CC,1,manual
CVRD US,CC,1,manual
CWII US,CC,1,manual
DFII US,CC,1,manual
DIPS US,CC,1,manual
DISO US,CC,1,manual
DIVO US,CC,1,manual
DJIA US,CC,1,manual
DOGG US,CC,1,manual
DRAY US,CC,1,manual
DYLG US,CC,1,manual
EDGE US,CC,1,manual
EGGS US,CC,1,manual
EGGY US,CC,1,manual
EHY US,CC,1,manual
ETCO US,CC,1,manual
ETHI US,CC,1,manual
ETTY US,CC,1,manual
FBY US,CC,1,manual
FBYY US,CC,1,manual
FDND US,CC,1,manual
FEAT US,CC,1,manual
FEPI US,CC,1,manual
FGSI US,CC,1,manual
FIAT US,CC,1,manual
FIVY US,CC,1,manual
FTHI US,CC,1,manual
FTKI US,CC,1,manual
FTQI US,CC,1,manual
GDXW US,CC,1,manual
GDXY US,CC,1,manual
GIF US,CC,1,manual
GLDI US,CC,1,manual
GLDW US,CC,1,manual
