variant,canonical,fund_count,similarity,confidence
AllianceBernstein,AB (AllianceBernstein),4,1.0,AUTO
BNY,BNY Mellon,1,1.0,AUTO
Bitwise Avalanche ETF/Fund Par,Bitwise,1,1.0,AUTO
GraniteShares ETF Trust,GraniteShares,1,1.0,AUTO
Harbor ETF Trust,Harbor,1,1.0,AUTO
Lazard Active ETF Trust,Lazard,2,1.0,AUTO
RBB ETFs/F/m Investments,RBB Fund,1,1.0,AUTO
T Rowe,T. Rowe Price,2,1.0,AUTO
T Rowe Price Exchange-Traded F,T. Rowe Price,1,1.0,AUTO
ETF Opportunities Trust/Tuttle,Tuttle,1,1.0,AUTO
DWS Xtrackers,Xtrackers,7,1.0,AUTO
iShares Delaware Trust Sponsor,iShares,1,1.0,AUTO
KraneShares,GraniteShares,32,0.7692,REVIEW
Amplify,Simplify,41,0.75,REVIEW
21Shares,iShares,4,0.75,REVIEW
