rex_ticker,fund_name,root_underlier,leverage,direction
AAPX,T-REX 2X LONG APPLE DAILY TARGET ETF,AAPL,2.0,Long
AFRU,T-REX 2X LONG AFRM DAILY TARGET ETF,AFRM,2.0,Long
AIPI,REX AI EQUITY PREMIUM INCOME ETF,,,
APHU,T-REX 2X LONG APH DAILY TARGET ETF,APH,2.0,Long
ATCL,REX AUTOCALLABLE INCOME ETF,,,
BMNU,T-REX 2X LONG BMNR DAILY TARGET ETF,BMNR,2.0,Long
BTCL,T-REX 2X LONG BITCOIN DAILY TARGET ETF,BTC,2.0,Long
BTCZ,T-REX 2X INVERSE BITCOIN DAILY TARGET ETF,BTC,2.0,Short
CCUP,T-REX 2X LONG CRCL DAILY TARGET ETF,CRCL,2.0,Long
CEGI,REX CRYPTO EQUITY INCOME & GROWTH UCITS ETF,,,
CEPI,REX CRYPTO EQUITY PREMIUM INCOME ETF,,,
CIFU,T-REX 2X LONG CIFR DAILY TARGET ETF,CIFR,2.0,Long
COII,REX COIN GROWTH & INCOME ETF,,,
CORD,T-REX 2X INVERSE CRWV DAILY TARGET ETF,CRWV,2.0,Short
CRCD,T-REX 2X INVERSE CRCL DAILY TARGET ETF,CRCL,2.0,Short
CRWU,T-REX 2X LONG CRWV DAILY TARGET ETF,CRWV,2.0,Long
CWII,REX CRWV GROWTH & INCOME ETF,,,
DJTU,T-REX 2X LONG DJT DAILY TARGET ETF,DJT,2.0,Long
DOJE,REX-OSPREY DOGE ETF,,,
DRNZ,REX DRONE ETF,,,
EOSU,T-REX 2X LONG EOSE DAILY TARGET ETF,EOSE,2.0,Long
ESK,REX-OSPREY ETH + STAKING ETF,,,
ETU,T-REX 2X LONG ETHER DAILY TARGET ETF,ETH,2.0,Long
FEGI,REX TECH INNOVATION INCOME & GROWTH UCITS ETF,,,
FEPI,REX TECH INNOVATION PREMIUM INCOME UCITS ETF,,,
FEPI,REX FANG & INNOVATION EQUITY PREMIUM INCOME ETF,,,
FGRU,T-REX 2X LONG FIGR DAILY TARGET ETF,FIGR,2.0,Long
GIF,REX GROWTH & INCOME UNIVERSE ETF,,,
GLXU,T-REX 2X LONG GLXY DAILY TARGET ETF,GLXY,2.0,Long
GMEU,T-REX 2X LONG GME DAILY TARGET ETF,GME,2.0,Long
GOOX,T-REX 2X LONG ALPHABET DAILY TARGET ETF,GOOG,2.0,Long
HOII,REX HOOD GROWTH & INCOME ETF,,,
KTUP,T-REX 2X LONG KTOS DAILY TARGET ETF,KTOS,2.0,Long
LLII,REX LLY GROWTH & INCOME ETF,,,
MSFX,T-REX 2X LONG MICROSOFT DAILY TARGET ETF,MSFT,2.0,Long
MSII,REX MSTR GROWTH & INCOME ETF,,,
MSTU,T-REX 2X LONG MSTR DAILY TARGET ETF,MSTR,2.0,Long
MSTZ,T-REX 2X INVERSE MSTR DAILY TARGET ETF,MSTR,2.0,Short
NFLU,T-REX 2X LONG NFLX DAILY TARGET ETF,NFLX,2.0,Long
NVDQ,T-REX 2X INVERSE NVIDIA DAILY TARGET ETF,NVDA,2.0,Short
NVDX,T-REX 2X LONG NVIDIA DAILY TARGET ETF,NVDA,2.0,Long
NVII,REX NVDA GROWTH & INCOME ETF,,,
PAAU,T-REX 2X LONG PAAS DAILY TARGET ETF,PAAS,2.0,Long
PLTI,REX PLTR GROWTH & INCOME ETF,,,
RBLU,T-REX 2X LONG RBLX DAILY TARGET ETF,RBLX,2.0,Long
RDWU,T-REX 2X LONG RDW DAILY TARGET ETF,RDW,2.0,Long
ROBN,T-REX 2X LONG HOOD DAILY TARGET ETF,HOOD,2.0,Long
SBTU,T-REX 2X LONG SBET DAILY TARGET ETF,SBET,2.0,Long
SMUP,T-REX 2X LONG SMR DAILY TARGET ETF,SMR,2.0,Long
SNDU,T-REX 2X LONG SNDK DAILY TARGET ETF,SNDK,2.0,Long
SNOU,T-REX 2X LONG SNOW DAILY TARGET ETF,SNOW,2.0,Long
SSK,REX-OSPREY SOL + STAKING ETF,,,
TSII,REX TSLA GROWTH & INCOME ETF,,,
TSLT,T-REX 2X LONG TESLA DAILY TARGET ETF,TSLA,2.0,Long
TSLZ,T-REX 2X INVERSE TESLA DAILY TARGET ETF,TSLA,2.0,Short
TTDU,T-REX 2X LONG TTD DAILY TARGET ETF,TTD,2.0,Long
ULTI,REX INCOMEMAX OPTION STRATEGY ETF,,,
WMTI,REX WMT GROWTH & INCOME ETF,,,
XRPR,REX-OSPREY XRP ETF,,,
