ticker,map_defined_category
BUFC US,Buffer
BUFI US,Buffer
BUFM US,Buffer
SPBX US,Buffer
SPBU US,Buffer
SPBW US,Buffer
AIOO US,Buffer
QBSF US,Buffer
AUGU US,Buffer
APRW US,Buffer
AUGW US,Buffer
DECW US,Buffer
FEBW US,Buffer
JANW US,Buffer
JULW US,Buffer
JUNW US,Buffer
MARW US,Buffer
MAYW US,Buffer
OCTW US,Buffer
SEPW US,Buffer
SIXO US,Buffer
SIXF US,Buffer
SIXJ US,Buffer
SIXD US,Buffer
SIXP US,Buffer
SIXZ US,Buffer
FLAO US,Floor
FLJJ US,Floor
APRT US,Buffer
AUGT US,Buffer
DECT US,Buffer
FEBT US,Buffer
JANT US,Buffer
JULT US,Buffer
JUNT US,Buffer
MART US,Buffer
MAYT US,Buffer
NVBT US,Buffer
OCTT US,Buffer
SEPT US,Buffer
ARLU US,Buffer
DECU US,Buffer
FEBU US,Buffer
JANU US,Buffer
JULU US,Buffer
JNEU US,Buffer
MARU US,Buffer
MAYU US,Buffer
NVBU US,Buffer
OCTU US,Buffer
SEPU US,Buffer
NVBW US,Buffer
APRB US,Buffer
DRSK US,Defined Risk
JANB US,Buffer
JULB US,Buffer
OCTB US,Buffer
ARKD US,Buffer
ARKT US,Buffer
BFLB US,Buffer
CBTA US,Buffer
CBTY US,Buffer
CBTO US,Buffer
CBTJ US,Buffer
CBXA US,Buffer
CBXY US,Buffer
CBXO US,Buffer
CBXJ US,Buffer
CBOA US,Buffer
CBOJ US,Buffer
CBOY US,Buffer
CBOO US,Buffer
CBTL US,Ladder
CBXL US,Ladder
CBOL US,Ladder
CPSL US,Ladder
CPNJ US,Buffer
CPNS US,Buffer
CPNQ US,Buffer
CPNM US,Buffer
CPRA US,Buffer
CPRY US,Buffer
CPRJ US,Buffer
CPRO US,Buffer
CPSP US,Buffer
CPSA US,Buffer
CPSD US,Buffer
CPSF US,Buffer
CPSY US,Buffer
CPSJ US,Buffer
CPSU US,Buffer
CPSR US,Buffer
CPSM US,Buffer
CPSN US,Buffer
CPSO US,Buffer
CPST US,Buffer
DHSB US,Buffer
APRZ US,Outcome
DECZ US,Outcome
FEBZ US,Outcome
JANZ US,Outcome
JUNZ US,Outcome
MARZ US,Outcome
MAYZ US,Outcome
NOVZ US,Outcome
OCTZ US,Outcome
SEPZ US,Outcome
FBUF US,Buffer
FHEQ US,Hedged Equity
BFAP US,Floor
BFJL US,Floor
BFOC US,Floor
BUFT US,Buffer
BUFG US,Buffer
TDEC US,Buffer
TMAR US,Buffer
TSEP US,Buffer
TJUN US,Buffer
BGLD US,Buffer
YDEC US,Buffer
YJUN US,Buffer
YMAR US,Buffer
YSEP US,Buffer
BUFR US,Ladder
BUFD US,Ladder
BUFX US,Ladder
BUFY US,Ladder
BUFH US,Ladder
BUFZ US,Ladder
BUFQ US,Ladder
BUFS US,Ladder
QDEC US,Buffer
QJUN US,Buffer
QMAR US,Buffer
QSPT US,Buffer
QCAP US,Buffer
QCJA US,Buffer
QCJL US,Buffer
QCOC US,Buffer
QMAG US,Buffer
QMFE US,Buffer
QMMY US,Buffer
QMNV US,Buffer
FJAN US,Buffer
DAPR US,Buffer
DAUG US,Buffer
DJAN US,Buffer
XSEP US,Buffer
SMAY US,Buffer
DGOC US,Buffer
XIDE US,Buffer
XIJN US,Buffer
XIMR US,Buffer
XISE US,Buffer
FAPR US,Buffer
FAUG US,Buffer
FDEC US,Buffer
FFEB US,Buffer
FJUL US,Buffer
FJUN US,Buffer
FMAR US,Buffer
