etp_category,issuer,issuer_nickname
Crypto,21Shares Solana ETF/Fund Paren,21Shares
Crypto,21Shares Dogecoin ETF/Fund Par,21Shares
Thematic,AB Active ETFs Inc,AllianceBernstein
Thematic,Abacus FCF ETFs/USA,Abacus
LI,Tidal Trust I,Acruence
Thematic,Advisors' Inner Circle Fund II,Advisors’ Inner Circle
CC,AdvisorShares ETFs/USA,AdvisorShares
Crypto,AdvisorShares ETFs/USA,AdvisorShares
LI,AdvisorShares ETFs/USA,AdvisorShares
Thematic,AdvisorShares ETFs/USA,AdvisorShares
Defined,AB Active ETFs Inc,AllianceBernstein
Defined,AIM ETF Products Trust,Allianz
Thematic,ALPS ETFs/USA,ALPS
Thematic,Financial Investors Trust/ALPS,ALPS
Thematic,ALPS ETF Trust,ALPS
Thematic,American Beacon Funds,American Beacon
Thematic,American Century ETF Trust,American Century
CC,Amplify ETF Trust,Amplify
Crypto,Amplify ETF Trust,Amplify
Thematic,Amplify ETF Trust,Amplify
CC,ETF Series Solutions/Aptus Cap,Aptus
Defined,ETF Series Solutions/Aptus Cap,Aptus
Crypto,ARK 21 Shares/USA,ARK
Defined,ARK ETF Trust,ARK
Thematic,ARK ETF Trust,ARK
Crypto,ARK ETF Trust,ARK
Crypto,Arrow Investments Trust,Arrow
CC,iPath ETNs/USA,Barclays
CC,Barclays Bank PLC,Barclays
Defined,Baron ETF Trust,Baron
CC,Bitwise Funds Trust,Bitwise
Crypto,Bitwise Funds Trust,Bitwise
Crypto,Bitwise 10 Crypto Index Fund/F,Bitwise
Crypto,Bitwise Solana Staking ETF/Fun,Bitwise
Crypto,Bitwise XRP ETF/Fund Parent,Bitwise
Crypto,Bitwise Dogecoin ETF/Fund Pare,Bitwise
Thematic,Bitwise Funds Trust,Bitwise
Crypto,Bitwise Chainlink ETF/Fund Par,Bitwise
CC,iShares ETFs/USA,BlackRock
CC,BlackRock ETF Trust,BlackRock
CC,iShares Trust,BlackRock
Crypto,iShares ETFs/USA,BlackRock
Defined,iShares ETFs/USA,BlackRock
Defined,Blackrock ETF Trust II,BlackRock
Defined,iShares Trust,BlackRock
Thematic,BlackRock ETF Trust,BlackRock
Thematic,iShares Trust,BlackRock
Thematic,iShares Inc,BlackRock
LI,BMO MAX ETNs,BMOMAX
Thematic,BNY Mellon ETF Trust,BNY
CC,Calamos ETF Trust,Calamos
Crypto,Calamos ETF Trust,Calamos
Defined,Calamos ETF Trust,Calamos
Thematic,Cambria ETFs/USA,Cambria
Thematic,Cambria ETF Trust,Cambria
Thematic,Cohen & Steers ETF Trust,Cohen & Steers
Crypto,Collaborative Investment Serie,Collaborative
Thematic,Collaborative Investment Serie,Collaborative
Thematic,Columbia ETFs/USA,Columbia
Thematic,Columbia ETF Trust I,Columbia
Thematic,Columbia ETF Trust II,Columbia
LI,Corgi ETF Trust I,Corgi
CC,Credit Suisse AG/Nassau,Credit Suisse
Crypto,CSC Delaware Trust Co,CSC
Crypto,Cyber Hornet Trust,Cyber Hornet
CC,Strategic Trust,DailyDelta
Defined,Strategy Shares Inc/Fund Paren,DayHagen
CC,ETF Series Solutions/Defiance,Defiance
Crypto,Tidal Trust II,Defiance
LI,Tidal Trust II,Defiance
LI,DB ETNs/USA,Deutsche
LI,Direxion ETFs/USA,Direxion
Thematic,Direxion ETFs/USA,Direxion
Thematic,DWS Xtrackers ETFs/USA,DWS Xtrackers
LI,Dynamic Shares Trust,DynamicShares
Thematic,EA Series Trust,EA
Thematic,Elevation Series Trust,Elevation
Defined,EA Series Trust,Emperial Finance
Thematic,EntrepreneurShares Series Trus,EntrepreneurShares
CC,Series Portfolios Trust/Teramo,Equable
LI,EA Series Trust,ETF Architect
Thematic,ETF Series Solutions/Advisors,ETF Series Solutions
Thematic,ETF Series Solutions,ETF Series Solutions
CC,ETRACS ETNs/UBS AG/London/USA,ETRACS
LI,ETRACS ETNs/UBS AG/London/USA,ETRACS
