ticker,fund_name,current_map,expected,status,confidence
AETH US,BITWISE TRENDWISE ETHER AND TREASURIES ROTATION STRATEGY ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
ARKB US,ARK 21SHARES BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
BAVA US,BITWISE AVALANCHE ETF,,alt-coin only (AVAX),MISMATCH,HIGH
BBB US,CYBER HORNET S&P 500 AND BITCOIN 75/25 STRATEGY ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
BCOR US,GRAYSCALE BITCOIN ADOPTERS ETF,Bitcoin,Bitcoin,OK,HIGH
BETE US,PROSHARES BITCOIN & ETHER EQUAL WEIGHT ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BETH US,PROSHARES BITCOIN & ETHER MARKET CAP WEIGHT ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BHDG US,NICHOLAS BITCOIN TAIL ETF,Bitcoin,Bitcoin,OK,HIGH
BITB US,BITWISE BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
BITC US,BITWISE TRENDWISE BITCOIN AND TREASURIES ROTATION STRATEGY ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
BITO US,PROSHARES BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
BITQ US,BITWISE CRYPTO INDUSTRY INNOVATORS ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BITS US,GLOBAL X BLOCKCHAIN & BITCOIN STRATEGY ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BITW US,BITWISE 10 CRYPTO INDEX ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BPRO US,BITWISE PROFICIO CURRENCY DEBASEMENT ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
BRRR US,COINSHARES BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
BSOL US,BITWISE SOLANA STAKING ETF,Solana,Solana,OK,HIGH
BTC US,GRAYSCALE BITCOIN MINI TRUST ETF,Bitcoin,Bitcoin,OK,HIGH
BTCO US,INVESCO GALAXY BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
BTCW US,WISDOMTREE BITCOIN FUND,Bitcoin,Bitcoin,OK,HIGH
BTF US,COINSHARES BITCOIN AND ETHER ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
BTOP US,BITWISE TRENDWISE BTC/ETH AND TREASURIES ROTATION STRATEGY ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
BTRN US,GLOBAL X BITCOIN TREND STRATEGY ETF,Bitcoin,Bitcoin,OK,HIGH
BWOW US,BITWISE DOGECOIN ETF,Dogecoin,Dogecoin,OK,HIGH
CLNK US,BITWISE CHAINLINK ETF,Chainlink,Chainlink,OK,HIGH
CRDD US,CARDANO ETF,,alt-coin only (ADA),MISMATCH,HIGH
CRPT US,FIRST TRUST SKYBRIDGE CRYPTO INDUSTRY AND DIGITAL ECONOMY ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
DECO US,STATE STREET GALAXY DIGITAL ASSET ECOSYSTEM ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
DEFI US,HASHDEX COMMODITIES TRUST,Bitcoin,,UNCLEAR,LOW
DIME US,COINSHARES ALTCOINS ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
DOJE US,REX-OSPREY DOGE ETF,Dogecoin,Dogecoin,OK,HIGH
EEE US,CYBER HORNET S&P 500 AND ETHEREUM 75/25 STRATEGY ETF,crypto + traditional asset,crypto + traditional asset,OK,HIGH
EETH US,PROSHARES ETHER ETF,Ethereum,Ethereum,OK,HIGH
EHCC US,GLOBAL X ETHEREUM COVERED CALL ETF,Ethereum,Ethereum,OK,HIGH
ESK US,REX-OSPREY ETH + STAKING ETF,Ethereum,,UNCLEAR,LOW
ETH US,GRAYSCALE ETHEREUM STAKING MINI ETF,Ethereum,Ethereum,OK,HIGH
ETHA US,ISHARES ETHEREUM TRUST ETF,Ethereum,Ethereum,OK,HIGH
ETHB US,ISHARES STAKED ETHEREUM TRUST ETF,Ethereum,Ethereum,OK,HIGH
ETHE US,GRAYSCALE ETHEREUM STAKING ETF,Ethereum,Ethereum,OK,HIGH
ETHV US,VANECK ETHEREUM ETF,Ethereum,Ethereum,OK,HIGH
ETHW US,BITWISE ETHEREUM ETF,Ethereum,Ethereum,OK,HIGH
EZBC US,FRANKLIN BITCOIN ETF,Bitcoin,Bitcoin,OK,HIGH
EZET US,FRANKLIN ETHEREUM ETF,Ethereum,Ethereum,OK,HIGH
EZPZ US,FRANKLIN CRYPTO INDEX ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
FBTC US,FIDELITY WISE ORIGIN BITCOIN FUND,Bitcoin,Bitcoin,OK,HIGH
FDIG US,FIDELITY CRYPTO INDUSTRY AND DIGITAL PAYMENTS ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
FETH US,FIDELITY ETHEREUM FUND,Ethereum,Ethereum,OK,HIGH
FMKT US,THE FREE MARKETS ETF,crypto + traditional asset,,UNCLEAR,LOW
FSOL US,FIDELITY SOLANA FUND,Solana,Solana,OK,HIGH
GBTC US,GRAYSCALE BITCOIN TRUST ETF,Bitcoin,Bitcoin,OK,HIGH
GDLC US,GRAYSCALE COINDESK CRYPTO 5 ETF,multi-token crypto,multi-token crypto,OK,MEDIUM
GDOG US,GRAYSCALE DOGECOIN TRUST DOGE ETF,Dogecoin,Dogecoin,OK,HIGH
GLDB US,IDX ALTERNATIVE FIAT ETF,crypto + traditional asset,,UNCLEAR,LOW
GLNK US,GRAYSCALE CHAINLINK TRUST ETF,Chainlink,Chainlink,OK,HIGH
GSOL US,GRAYSCALE SOLANA STAKING ETF,Solana,Solana,OK,HIGH
GSUI US,GRAYSCALE SUI STAKING ETF,alt-coin only (SUI),alt-coin only (SUI),OK,HIGH
GXRP US,GRAYSCALE XRP TRUST ETF,XRP,XRP,OK,HIGH
