ticker,fund_name,current_map,expected,status,confidence
AAPR US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO APRIL 2028,Buffer,,UNCLEAR,LOW
ABUF US,APTUS LADDERED BUFFER ETF,Buffer,Ladder,MISMATCH,HIGH
AIOO US,ALLIANZIM U.S. EQUITY BUFFER100 PROTECTION ETF,Buffer,Buffer,OK,HIGH
AJAN US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JANUARY 2028,Buffer,,UNCLEAR,LOW
AJUL US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO JULY 2026,Buffer,,UNCLEAR,LOW
AOCT US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 2 YR TO OCTOBER 2026,Buffer,,UNCLEAR,LOW
APOC US,INNOVATOR EQUITY DEFINED PROTECTION ETF - 6 MO APR/OCT,Buffer,,UNCLEAR,LOW
APRB US,APTUS APRIL BUFFER ETF,Buffer,Buffer,OK,HIGH
APRH US,INNOVATOR PREMIUM INCOME 20 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
APRJ US,INNOVATOR PREMIUM INCOME 30 BARRIER ETF - APRIL,Barrier,Barrier,OK,HIGH
APRP US,PGIM S&P 500 BUFFER 12 ETF - APRIL,Buffer,Buffer,OK,HIGH
APRT US,ALLIANZIM US EQUITY BUFFER10 APR ETF,Buffer,Buffer,OK,HIGH
APRW US,ALLIANZIM US EQ BUFFER20 APR,Buffer,Buffer,OK,HIGH
APRZ US,ELEVATION SERIES TRUST - TRUESHARES STRUCTURED OUTCOME APRIL ETF,Outcome,Outcome,OK,HIGH
APXM US,FT VEST US EQUITY MAX BUFFER ETF - APRIL,Buffer,Buffer,OK,HIGH
ARKD US,ARK DIET Q1 BUFFER ETF,Buffer,Buffer,OK,HIGH
ARKI US,ARK DIET Q2 BUFFER ETF,Buffer,Buffer,OK,HIGH
ARKT US,ARK DIET Q4 BUFFER ETF,Buffer,Buffer,OK,HIGH
ARLI US,ALLIANZIM INTERNATIONAL EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
ARLU US,ALLIANZIM US EQUITY BUFFER15 UNCAPPED APR ETF,Buffer,Buffer,OK,HIGH
AUGM US,FT VEST US EQUITY MAX BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
AUGP US,PGIM S&P 500 BUFFER 12 ETF - AUGUST,Buffer,Buffer,OK,HIGH
AUGT US,ALLIANZIM US EQUITY BUFFER10 AUG ETF,Buffer,Buffer,OK,HIGH
AUGU US,ALLIANZIM U.S. EQUITY BUFFER15 UNCAPPED AUG ETF,Buffer,Buffer,OK,HIGH
AUGW US,ALLIANZIM US EQ BUFFER20 AUG,Buffer,Buffer,OK,HIGH
AUGZ US,TRUESHARES STRUCTURED OUTCOME AUGUST ETF,Outcome,Outcome,OK,HIGH
BALT US,INNOVATOR DEFINED WEALTH SHIELD ETF,Buffer,,UNCLEAR,LOW
BAPR US,INNOVATOR U.S. EQUITY BUFFER ETF APRIL,Buffer,Buffer,OK,HIGH
BAUG US,INNOVATOR U.S. EQUITY BUFFER ETF - AUGUST,Buffer,Buffer,OK,HIGH
BDEC US,INNOVATOR U.S. EQUITY BUFFER ETF -DECEMBER,Buffer,Buffer,OK,HIGH
BFAP US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - APRIL,Floor,Floor,OK,HIGH
BFEB US,INNOVATOR U.S. EQUITY BUFFER ETF - FEBRUARY,Buffer,Buffer,OK,HIGH
BFJA US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - JANUARY,Floor,Floor,OK,HIGH
BFJL US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - JULY,Floor,Floor,OK,HIGH
BFLB US,BUFFERLABS US EQUITY DYNAMIC BUFFER ETF,Buffer,Buffer,OK,HIGH
BFOC US,FT VEST BITCOIN STRATEGY FLOOR15 ETF - OCTOBER,Floor,Floor,OK,HIGH
BFRZ US,INNOVATOR EQUITY MANAGED 100 BUFFER ETF,Buffer,Buffer,OK,HIGH
BGLD US,FT VEST GOLD STRATEGY QUARTERLY BUFFER ETF,Buffer,Buffer,OK,HIGH
BJAN US,INNOVATOR U.S. EQUITY BUFFER ETF - JANUARY,Buffer,Buffer,OK,HIGH
BJUL US,INNOVATOR U.S. EQUITY BUFFER ETF - JULY,Buffer,Buffer,OK,HIGH
BJUN US,INNOVATOR U.S. EQUITY BUFFER ETF - JUNE,Buffer,Buffer,OK,HIGH
BMAR US,INNOVATOR U.S. EQUITY BUFFER ETF - MARCH,Buffer,Buffer,OK,HIGH
BMAY US,INNOVATOR U.S. EQUITY BUFFER ETF - MAY,Buffer,Buffer,OK,HIGH
BNOV US,INNOVATOR U.S. EQUITY BUFFER ETF - NOVEMBER,Buffer,Buffer,OK,HIGH
BOCT US,INNOVATOR U.S. EQUITY BUFFER ETF - OCTOBER,Buffer,Buffer,OK,HIGH
BSEP US,INNOVATOR U.S. EQUITY BUFFER ETF - SEPTEMBER,Buffer,Buffer,OK,HIGH
BSTP US,INNOVATOR BUFFER STEP-UP STRATEGY ETF,Buffer,Buffer,OK,HIGH
BUFB US,INNOVATOR LADDERED ALLOCATION BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFC US,AB CONSERVATIVE BUFFER ETF,Buffer,Buffer,OK,HIGH
BUFD US,FT VEST LADDERED DEEP BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFF US,INNOVATOR LADDERED ALLOCATION POWER BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFG US,FT VEST BUFFERED ALLOCATION GROWTH ETF,Buffer,Buffer,OK,HIGH
BUFH US,FT VEST LADDERED MAX BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFI US,AB INTERNATIONAL BUFFER ETF,Buffer,Buffer,OK,HIGH
BUFM US,AB MODERATE BUFFER ETF,Buffer,Buffer,OK,HIGH
BUFP US,PGIM LADDERED S&P 500 BUFFER 12 ETF,Ladder,Ladder,OK,HIGH
BUFQ US,FT VEST LADDERED NASDAQ BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFR US,FT VEST LADDERED BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFS US,FT VEST LADDERED SMALL CAP MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFT US,FT VEST BUFFERED ALLOCATION DEFENSIVE ETF,Buffer,Buffer,OK,HIGH
BUFX US,FT VEST LADDERED ENHANCE & MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFY US,FT VEST LADDERED INTERNATIONAL MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
BUFZ US,FT VEST LADDERED MODERATE BUFFER ETF,Ladder,Ladder,OK,HIGH
CBOA US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
CBOJ US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - JANUARY,Buffer,,UNCLEAR,LOW
CBOL US,CALAMOS LADDERED BITCOIN STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
CBOO US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
CBOY US,CALAMOS BITCOIN STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
CBTA US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
CBTJ US,CALAMOS BITCOIN 80% PROTECTION STRATEGY ETF - JANUARY,Buffer,,UNCLEAR,LOW
CBTL US,CALAMOS LADDERED BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
CBTO US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
CBTY US,CALAMOS BITCOIN 80 SERIES STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
CBXA US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - APRIL,Buffer,,UNCLEAR,LOW
CBXJ US,CALAMOS BITCOIN 90% PROTECTION STRATEGY ETF - JANUARY,Buffer,,UNCLEAR,LOW
CBXL US,CALAMOS LADDERED BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF,Ladder,Ladder,OK,HIGH
CBXO US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - OCTOBER,Buffer,,UNCLEAR,LOW
CBXY US,CALAMOS BITCOIN 90 SERIES STRUCTURED ALT PROTECTION ETF - JULY,Buffer,,UNCLEAR,LOW
