ticker,fund_name,current_map,expected,status,confidence
AALG US,LEVERAGE SHARES 2X LONG AAL DAILY ETF,AAL US,AAL US,OK,HIGH
AAOX US,TRADR 2X LONG AAOI DAILY ETF,AAOI,AAOI US,OK,HIGH
AAPB US,GRANITESHARES 2X LONG AAPL DAILY ETF,AAPL US,AAPL US,OK,HIGH
AAPD US,DIREXION DAILY AAPL BEAR 1X ETF,AAPL US,AAPL US,OK,HIGH
AAPU US,DIREXION DAILY AAPL BULL 2X ETF,AAPL US,AAPL US,OK,HIGH
AAPX US,T-REX 2X LONG APPLE DAILY TARGET ETF,AAPL US,AAPL US,OK,MEDIUM
ABNG US,LEVERAGE SHARES 2X LONG ABNB DAILY ETF,ABNB US,ABNB US,OK,HIGH
ADBG US,LEVERAGE SHARES 2X LONG ADBE DAILY ETF,ADBE US,ADBE US,OK,HIGH
ADBU US,DIREXION DAILY ADBE BULL 2X ETF,ADBE,ADBE US,OK,HIGH
ADZCF US,DB AGRICULTURE SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
AFRU US,T-REX 2X LONG AFRM DAILY TARGET ETF,AFRM US,AFRM US,OK,HIGH
AGQ US,PROSHARES ULTRA SILVER,XAG Curncy,XAG Curncy,OK,MEDIUM
AIBD US,DIREXION DAILY AI AND BIG DATA BEAR 2X ETF,,,UNCLEAR,LOW
AIBU US,DIREXION DAILY AI AND BIG DATA BULL 2X ETF,,,UNCLEAR,LOW
ALBG US,LEVERAGE SHARES 2X LONG ALB DAILY ETF,ALB US,ALB US,OK,HIGH
AMDD US,DIREXION DAILY AMD BEAR 1X ETF,AMD US,AMD US,OK,HIGH
AMDG US,LEVERAGE SHARES 2X LONG AMD DAILY ETF,AMD US,AMD US,OK,HIGH
AMDL US,GRANITESHARES 2X LONG AMD DAILY ETF,AMD US,AMD US,OK,HIGH
AMUU US,DIREXION DAILY AMD BULL 2X ETF,AMD US,AMD US,OK,HIGH
AMZD US,DIREXION DAILY AMZN BEAR 1X ETF,AMZN US,AMZN US,OK,HIGH
AMZO US,TRADR 2X SHORT AMZN DAILY ETF,AMZN,AMZN US,OK,HIGH
AMZU US,DIREXION DAILY AMZN BULL 2X ETF,AMZN US,AMZN US,OK,HIGH
AMZZ US,GRANITESHARES 2X LONG AMZN DAILY ETF,AMZN US,AMZN US,OK,HIGH
ANEL US,DEFIANCE DAILY TARGET 2X LONG ANET ETF,ANET US,,UNCLEAR,LOW
APHU US,T-REX 2X LONG APH DAILY TARGET ETF,APH,APH US,OK,HIGH
APLX US,TRADR 2X LONG APLD DAILY ETF,APLD US,APLD US,OK,HIGH
APLZ US,TRADR 2X SHORT APLD DAILY ETF,APLD,APLD US,OK,HIGH
APPX US,TRADR 2X LONG APP DAILY ETF,APP US,APP US,OK,HIGH
ARCX US,TRADR 2X LONG ACHR DAILY ETF,ACHR US,ACHR US,OK,HIGH
ARMG US,LEVERAGE SHARES 2X LONG ARM DAILY ETF,ARM US,ARM US,OK,HIGH
ASMG US,LEVERAGE SHARES 2X LONG ASML DAILY ETF,ASML US,ASML US,OK,HIGH
ASMU US,DIREXION DAILY ASML BULL 2X ETF,ASML,ASML US,OK,HIGH
ASTN US,DEFIANCE DAILY TARGET 2X SHORT ASTS ETF,ASTS,,UNCLEAR,LOW
ASTX US,TRADR 2X LONG ASTS DAILY ETF,ASTS US,ASTS US,OK,HIGH
AVGG US,LEVERAGE SHARES 2X LONG AVGO DAILY ETF,AVGO US,AVGO US,OK,HIGH
AVGU US,GRANITESHARES 2X LONG AVGO DAILY ETF,AVGO US,AVGO US,OK,HIGH
AVGX US,DEFIANCE DAILY TARGET 2X LONG AVGO ETF,AVGO US,,UNCLEAR,LOW
AVL US,DIREXION DAILY AVGO BULL 2X ETF,AVGO US,AVGO US,OK,HIGH
AVS US,DIREXION DAILY AVGO BEAR 1X ETF,AVGO US,AVGO US,OK,HIGH
AVXX US,DEFIANCE DAILY TARGET 2X LONG AVAV ETF,AVAV US,,UNCLEAR,LOW
AXPG US,LEVERAGE SHARES 2X LONG AXP DAILY ETF,AXP,AXP US,OK,HIGH
BABU US,DIREXION DAILY BABA BULL 2X ETF,BABA,BABA US,OK,HIGH
BABX US,GRANITESHARES 2X LONG BABA DAILY ETF,BABA US,BABA US,OK,HIGH
BAIG US,LEVERAGE SHARES 2X LONG BBAI DAILY ETF,BBAI US,BBAI US,OK,HIGH
BDCX US,ETRACS QUARTERLY PAY 1.5X LEVERAGED MARKETVECTOR BDC LIQUID INDEX ETN,MVBIZD,,UNCLEAR,LOW
BDDXF US,DB BASE METALS DOUBLE LONG EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
BEG US,LEVERAGE SHARES 2X LONG BE DAILY ETF,BE US,BE US,OK,HIGH
BEGS US,RAREVIEW 2X BULL CRYPTOCURRENCY & PRECIOUS METALS ETF,Basket,,UNCLEAR,LOW
BERZ US,MICROSECTORS FANG & INNOVATION -3X INVERSE LEVERAGED ETN,SOLFANGT,,UNCLEAR,LOW
BEX US,TRADR 2X LONG BE DAILY ETF,BE US,BE US,OK,HIGH
BEZ US,TRADR 2X SHORT BE DAILY ETF,BE,BE US,OK,HIGH
BIB US,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY,,,UNCLEAR,LOW
BIDG US,LEVERAGE SHARES 2X LONG BIDU DAILY ETF,BIDU US,BIDU US,OK,HIGH
BIS US,PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY,,,UNCLEAR,LOW
BITI US,PROSHARES SHORT BITCOIN ETF,XBTUSD Curncy,,UNCLEAR,LOW
BITU US,PROSHARES ULTRA BITCOIN ETF,XBTUSD Curncy,XBTUSD Curncy,OK,MEDIUM
BITX US,2X BITCOIN STRATEGY ETF,XBTUSD Curncy,,UNCLEAR,LOW
BLSG US,LEVERAGE SHARES 2X LONG BLSH DAILY ETF,BLSH US,BLSH US,OK,HIGH
BMNG US,LEVERAGE SHARES 2X LONG BMNR DAILY ETF,BMNR US,BMNR US,OK,HIGH
BMNU US,T-REX 2X LONG BMNR DAILY TARGET ETF,BMNR US,BMNR US,OK,HIGH
BMNZ US,DEFIANCE DAILY TARGET 2X SHORT BMNR ETF,BMNR US,,UNCLEAR,LOW
BNKD US,MICROSECTORS US BIG BANKS INDEX -3X INVERSE LEVERAGED ETN,SOLUSBBT,,UNCLEAR,LOW
BNKU US,MICROSECTORS US BIG BANKS 3X LEVERAGED ETN,SOLUSBBT,,UNCLEAR,LOW
BOEG US,LEVERAGE SHARES 2X LONG BA DAILY ETF,BA US,BA US,OK,HIGH
BOEU US,DIREXION DAILY BA BULL 2X ETF,BA US,BA US,OK,HIGH
BOIL US,PROSHARES ULTRA BLOOMBERG NATURAL GAS,NGA Comdty,,UNCLEAR,LOW
BOMMF US,DB BASE METALS DOUBLE SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
BOSXF US,DB BASE METALS SHORT EXCHANGE TRADED NOTES,,,UNCLEAR,LOW
BRKU US,DIREXION DAILY BRKB BULL 2X ETF,BRK/B US,BRKB US,OK,HIGH
BRZU US,DIREXION DAILY MSCI BRAZIL BULL 2X ETF,,,UNCLEAR,LOW
BTCL US,T-REX 2X LONG BITCOIN DAILY TARGET ETF,XBTUSD Curncy,XBTUSD Curncy,OK,MEDIUM
BTCZ US,T-REX 2X INVERSE BITCOIN DAILY TARGET ETF,XBTUSD Curncy,XBTUSD Curncy,OK,MEDIUM
BTGD US,STKD 100% BITCOIN & 100% GOLD ETF,Basket,,UNCLEAR,LOW
BU US,DEFIANCE DAILY TARGET 2X LONG B ETF,B US,,UNCLEAR,LOW
BULG US,LEVERAGE SHARES 2X LONG BULL DAILY ETF,BULL US,BULL US,OK,HIGH
BULX US,GRANITESHARES 2X LONG BULL DAILY ETF,BULL US,BULL US,OK,HIGH
BULZ US,MICROSECTORS FANG & INNOVATION 3X LEVERAGED ETN,SOLFANGT,,UNCLEAR,LOW
BZQ US,PROSHARES ULTRASHORT MSCI BRAZIL CAPPED,,,UNCLEAR,LOW
CARD US,MAX AUTO INDUSTRY -3X INVERSE LEVERAGED ETN,PCARSNTR,,UNCLEAR,LOW
CARU US,MAX AUTO INDUSTRY 3X LEVERAGED ETN,PCARSNTR,,UNCLEAR,LOW
CCUP US,T-REX 2X LONG CRCL DAILY TARGET ETF,CECL US,CRCL US,MISMATCH,HIGH
CEFD US,ETRACS MONTHLY PAY 1.5X LEVERAGED CLOSED-END FUND INDEX ETN,CEFX,,UNCLEAR,LOW
CEGX US,TRADR 2X LONG CEG DAILY ETF,CEG US,CEG US,OK,HIGH
CHAU US,DIREXION DAILY CSI 300 CHINA A SHARE BULL 2X ETF,,,UNCLEAR,LOW
CHNL US,CHAINLINK ETF,,,UNCLEAR,LOW
CHNU US,2X CHAINLINK ETF,,,UNCLEAR,LOW
CIFG US,LEVERAGE SHARES 2X LONG CIFR DAILY ETF,CIFR US,CIFR US,OK,HIGH
CIFU US,T-REX 2X LONG CIFR DAILY TARGET ETF,CIFR US,CIFR US,OK,HIGH
CLSX US,TRADR 2X LONG CLSK DAILY ETF,CLSK US,CLSK US,OK,HIGH
