ticker,fund_name,etp_category,current_issuer,suggested_brand
497780 KS,SAMSUNGACTIVE KOACT US NATURAL GAS INFRASTRUCTURE ACTIVE ETF,,Samsung Asset Management Co Lt,SAMSUNGACTIVE
AAA US,ALTERNATIVE ACCESS FIRST PRIORITY CLO BOND ETF,,Investment Managers Series Tru,ALTERNATIVE
ABCS US,ALPHA BLUE CAPITAL US SMALL-MID CAP DYNAMIC ETF,,EA Series Trust,ALPHA
ABEQ US,ABSOLUTE SELECT VALUE ETF,,Unified Series Trust/Absolute,ABSOLUTE
ABIG US,ARGENT LARGE CAP ETF,,EA Series Trust,ARGENT
ACEP US,ARS CORE EQUITY PORTFOLIO ETF,,EA Series Trust/Empowered Fund,ARS
ACSI US,AMERICAN CUSTOMER SATISFACTION ETF,,Tidal Trust I,AMERICAN
ACVF US,AMERICAN CONSERVATIVE VALUES ETF,,ETF Opportunities Trust/Ridgel,AMERICAN
ACVT US,ADVENT CONVERTIBLE BOND ETF,,RBB Fund Trust/The,ADVENT
ADFI US,ANFIELD DYNAMIC FIXED INCOME ETF,,Two Roads Shared Trust/Anfield,ANFIELD
AESR US,ANFIELD US EQUITY SECTOR ROTATION ETF,,Horizon Funds,ANFIELD
AFIF US,ANFIELD UNIVERSAL FIXED INCOME ETF,,Horizon Funds,ANFIELD
AFIX US,ALLSPRING BROAD MARKET CORE BOND ETF,,Allspring Funds Management LLC,ALLSPRING
AFOS US,ARS FOCUSED OPPORTUNITIES STRATEGY ETF,,EA Series Trust/Empowered Fund,ARS
AGFXF US,DB AGRICULTURE LONG EXCHANGE TRADED NOTES,,DB ETNs/USA,DB
AGGA US,EA ASTORIA BEACON DYNAMIC CORE US FIXED INCOME ETF,,EA Series Trust,EA
AGGZ US,TWIN OAK ENHANCED FIXED INCOME ETF,,Twin Oak ETF Co/USA,TWIN
AGOX US,ADAPTIVE ALPHA OPPORTUNITIES ETF,,Starboard Investment Trust,ADAPTIVE
AGRW US,ALLSPRING LT LARGE GROWTH ETF,,Allspring Funds Management LLC,ALLSPRING
AINP US,ALLSPRING INCOME PLUS ETF,,Allspring Funds Management LLC,ALLSPRING
AKAF US,THE FRONTIER ECONOMIC FUND,,ETF Series Solutions,FRONTIER
AKRE US,AKRE FOCUS ETF,,Professionally Managed Portfol,AKRE
ALIL US,ARGENT FOCUSED SMALL CAP ETF,,EA Series Trust,ARGENT
ALRG US,ALLSPRING LT LARGE CORE ETF,,Allspring Funds Management LLC,ALLSPRING
AMAX US,ADAPTIVE HEDGED MULTI-ASSET INCOME ETF,,Starboard Investment Trust,ADAPTIVE
AMEI US,AMANA EQUITY INCOME ETF,,Amana Mutual Funds Trust,AMANA
AMEM US,AMANA DEVELOPING WORLD ETF,,Amana Mutual Funds Trust,AMANA
AMGR US,AMANA GROWTH ETF,,Amana Mutual Funds Trust,AMANA
AMID US,ARGENT MID CAP ETF,,EA Series Trust,ARGENT
AMJB US,ALERIAN MLP INDEX ETNS DUE JANUARY 28 2044,,JP Morgan ETNs/USA,ALERIAN
AMLP US,ALERIAN MLP ETF,,ALPS ETF Trust,ALERIAN
AMOM US,QRAFT AI-ENHANCED US LARGE CAP MOMENTUM ETF,,Exchange Listed Funds Trust,QRAFT
AOHY US,ANGEL OAK HIGH YIELD OPPORTUNITIES ETF,,Angel Oak Funds Trust,ANGEL
APCB US,ACTIVEPASSIVE CORE BOND ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APIE US,ACTIVEPASSIVE INTERNATIONAL EQUITY ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APLU US,ALLSPRING CORE PLUS ETF,,Allspring Funds Management LLC,ALLSPRING
APMU US,ACTIVEPASSIVE INTERMEDIATE MUNICIPAL BOND ETF,,Trust For Professional Manager,ACTIVEPASSIVE
APUE US,ACTIVEPASSIVE US EQUITY ETF,,Trust For Professional Manager,ACTIVEPASSIVE
AQEC US,AQE CORE ETF,,ETF Opportunities Trust/Arling,AQE
AQLG US,HCM LARGE CAP GROWTH ETF,,ETF Opportunities Trust/Highla,HCM
ARB US,ALTSHARES MERGER ARBITRAGE ETF,,AltShares Trust,ALTSHARES
ARIA US,ARIA OPPORTUNITIES ETF,,Exchange Listed Funds Trust,ARIA
ARMH US,ARM HOLDINGS PLC ADRHEDGED,,Precidian ETFs Trust,ARM
ARP US,PMV ADAPTIVE RISK PARITY ETF,,Advisors' Inner Circle Fund II,PMV
ASCE US,ALLSPRING SMID CORE ETF,,Allspring Funds Management LLC,ALLSPRING
ASLV US,ALLSPRING SPECIAL LARGE VALUE ETF,,Allspring Funds Management LLC,ALLSPRING
ASMH US,ASML HOLDING NV ADRHEDGED TM,,Precidian ETFs Trust,ASML
ATTR US,ARIN TACTICAL TAIL RISK ETF,,EA Series Trust,ARIN
AUSM US,ALLSPRING ULTRA SHORT MUNICIPAL ETF,,Allspring Funds Management LLC,ALLSPRING
AZTD US,AZTLAN GLOBAL STOCK SELECTION DM SMID ETF,,Tidal Trust I,AZTLAN
BAMA US,BROOKSTONE ACTIVE ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
BAMB US,BROOKSTONE INTERMEDIATE BOND ETF,,Northern Lights Fund Trust IV/,BROOKSTONE
